epoch,avg_reward,total_loss,actor_loss,critic_loss,entropy_loss
0,-40.03411037102342,-0.0877500683069229,-0.018281671769020454,0.10081150548325646,-0.17027990595499673
10,-28.599400558896985,-0.11423009998268552,-0.012805130298354723,0.06894406427939732,-0.17036903847588433
20,-31.443720387372498,-0.1063619774248865,-0.012057224786298726,0.07614796857039134,-0.17045272488064234
30,-21.9421977760115,-0.1337754022743967,-0.015032476725412558,0.05176571392350726,-0.1705086445278592
40,-19.245909619533148,-0.14024465796020294,-0.016807422872201036,0.04715010772148768,-0.17058734554714627
50,-21.568164020388696,-0.12548184361722733,-0.014334971291929025,0.05955834868881437,-0.17070522393120657
60,-19.20532353890788,-0.142683354847961,-0.018007305353017325,0.0461344482170211,-0.17081050152248803
70,-20.862950126019616,-0.12646609909004636,-0.01732847456957845,0.06176132874356376,-0.1708989567226834
80,-19.608626725229744,-0.14232988937033544,-0.01577563189823397,0.04440907744897737,-0.1709633386400011
90,-20.395733253797516,-0.13673683736059403,-0.01730724472201675,0.05157766979601649,-0.17100726784600154
100,-20.16305664166187,-0.1377478938963678,-0.016688886401203088,0.050056177129348116,-0.1711151885986328
110,-22.48556209852298,-0.13117543243699603,-0.015767279730789594,0.05575039229459233,-0.1711585481431749
120,-20.007841400181253,-0.14617527806096606,-0.017253040546317305,0.04231880580385527,-0.1712410477532281
130,-19.277826407342218,-0.14967336687776778,-0.015108718087463382,0.03672304641869333,-0.1712876998053657
140,-19.665637823132176,-0.14564252330197228,-0.017732445229032442,0.04345838386151526,-0.1713684645758735
150,-16.30564219572504,-0.16216091016928355,-0.019360790909569107,0.02863533178137408,-0.17143545405069985
160,-16.669490344900016,-0.15374360515011679,-0.01771702183557661,0.03542712041073375,-0.17145370737711588
170,-19.017849881201982,-0.14003943271107142,-0.01909352696655636,0.05057910150951809,-0.1715250104268392
180,-18.551193518020835,-0.15477546983295018,-0.01866641820758951,0.035428247766362296,-0.1715373009575738
190,-17.656424601833958,-0.13967493888404633,-0.017673764416920475,0.049594657454225755,-0.17159583367241757
200,-18.244991372106597,-0.15756933324866826,-0.0187914260892689,0.03285843196014563,-0.17163634236653644
210,-17.11230949079618,-0.14636274410618677,-0.019098003301769497,0.04442083612084389,-0.17168558247884114
220,-16.69419302228683,-0.1579438053899341,-0.02048315896374536,0.03432823059459527,-0.17178888066609702
230,-17.278200993624825,-0.15741036931673683,-0.0202721758137664,0.034759605303406715,-0.17189780341254343
240,-18.110559035946306,-0.15137141909864213,-0.018697069817588067,0.03923470990525352,-0.17190906185574004
250,-17.14792932519534,-0.1592463046312332,-0.02148733982653034,0.034178507493601906,-0.1719374762641059
260,-17.120552281461034,-0.15828435487217374,-0.01888952212753389,0.032550579681992535,-0.1719454150729709
270,-16.476373955296975,-0.15119081603156195,-0.017795964646534736,0.03854885564910041,-0.17194371456570098
280,-16.75121324887732,-0.15198085837894015,-0.02008522703933219,0.040083415226803885,-0.17197905137803823
290,-17.580088459847804,-0.1557837747865253,-0.016068894589261615,0.03227409596244494,-0.17198898145887587
300,-16.337241856226075,-0.15933459401130676,-0.022002930528995223,0.0346839823656612,-0.17201564915974935
310,-17.476667692390038,-0.14679562167988883,-0.018140424423674834,0.04342804476618767,-0.17208324686686197
320,-14.136642201299159,-0.16454686952961817,-0.01812814891438595,0.025755550339818,-0.17217427402072483
330,-16.08255126901592,-0.15215285536315706,-0.019579342195033354,0.03968798013197051,-0.17226149749755862
340,-15.776149228486853,-0.15686567823092143,-0.016483330083105506,0.03189601331121392,-0.17227836566501195
350,-14.767177376624508,-0.15617823335859513,-0.020995327020258022,0.037161738922198616,-0.1723446485731337
360,-15.222391171904746,-0.16362097064654033,-0.01722389463296471,0.02600896966954072,-0.17240604866875542
370,-14.799561020374918,-0.1681270635790295,-0.02247835877092762,0.026796694638000593,-0.17244540320502388
380,-14.461358854003871,-0.15981162952052222,-0.019407297302031012,0.03210553787648678,-0.1725098737080892
390,-16.48196860961616,-0.15772458414236704,-0.01795143523971395,0.03279313635494974,-0.17256628968980578
400,-13.37803827067061,-0.1577494167619281,-0.017000299925712174,0.031845948182874256,-0.17259506734212238
410,-14.902066471617823,-0.16468149456712936,-0.01895804276826109,0.026909976121452118,-0.17263343090481229
420,-13.900717351430407,-0.16635299589898853,-0.018008151157603906,0.02433504867884848,-0.17267989688449437
430,-15.259569133505769,-0.1585128317276637,-0.0213150272297854,0.03555088332957692,-0.17274869155883787
440,-14.84421171376016,-0.169145953324106,-0.02129285636118665,0.024993722844454974,-0.17284682422214084
450,-14.399502711254172,-0.16209245721499124,-0.019902006007638796,0.030730283922619294,-0.17292073906792535
460,-14.75151769357035,-0.1718182014094459,-0.019390598262220414,0.02052074699766106,-0.17294835408528644
470,-13.586352735990658,-0.1685723092820909,-0.018303147783363886,0.02272023955980937,-0.17298940489027237
480,-14.476049835425025,-0.16789914932515884,-0.02126175442050832,0.02643002031577958,-0.17306741841634113
490,-15.078586547480276,-0.1686886767546336,-0.018048625649094496,0.02245261044138008,-0.17309266450670033
500,-14.288629861315712,-0.1673686487807168,-0.02007439298969176,0.025849543263514834,-0.17314380306667754
510,-14.533905479048068,-0.1666478521294064,-0.018169979917325284,0.02469216560324033,-0.17317003928290473
520,-15.065640859150639,-0.16583281854788465,-0.018613600296925548,0.025971782248881126,-0.17319100485907665
530,-15.078290693151454,-0.16762777202659185,-0.018193111771931097,0.0238063068025642,-0.17324097230699328
540,-14.356672295796065,-0.16075593994723425,-0.017615458361756788,0.03010012043846978,-0.17324060609605577
550,-14.525584978594756,-0.16903150346544052,-0.019259169179713355,0.02348194316857391,-0.17325428263346354
560,-14.868052208873754,-0.170058274269104,-0.0199065763115262,0.023180765617224906,-0.17333246866861982
570,-13.062076207716018,-0.17045936617586346,-0.01883030734764664,0.02169207587010331,-0.17332113689846462
580,-15.527018860564567,-0.16307976212766434,-0.017495871460091114,0.02777887516551547,-0.17336277050442164
590,-14.185019723139703,-0.1735888673199548,-0.021241138518800856,0.021068844944238663,-0.17341657808091906
600,-13.673541881105242,-0.16906873020860883,-0.018837912913052906,0.023238609772589472,-0.17346943198310005
610,-14.414737059831774,-0.1696155750089222,-0.019266779077871537,0.023161028615302514,-0.173509827931722
620,-14.006845924421214,-0.16612118018998043,-0.015147138117329935,0.022583689623408846,-0.173557736714681
630,-16.073212164163124,-0.1686272770166397,-0.01744399673116277,0.02240644817550977,-0.1735897339714898
640,-13.827355028673386,-0.16972333523962232,-0.01718834791617054,0.021101949074202115,-0.17363694127400717
650,-15.50775756125222,-0.164166772696707,-0.018247355926885374,0.02786227125260565,-0.17378169250488282
660,-16.920465741306543,-0.16860240168041654,-0.016152761255701382,0.021419227537181645,-0.17386887232462567
670,-13.46911548266265,-0.1699549211396111,-0.018238292725032402,0.02216987493965361,-0.17388650724622937
680,-15.984729145255793,-0.16343244777785407,-0.017702964917245684,0.028183042423592677,-0.1739125294155545
690,-13.867847035677793,-0.1712389353248808,-0.018268103834836638,0.0210006666680177,-0.17397150251600477
700,-15.192039190675132,-0.17044311530060238,-0.018183591556994037,0.021783372635642687,-0.1740429000854492
710,-14.746866868576035,-0.163202714588907,-0.017370152349920117,0.02824152451422479,-0.17407408947414824
720,-14.602826128500359,-0.16776951981915367,-0.017289665019294867,0.023630207073357373,-0.17411006503634982
730,-17.509574132234167,-0.1658511906862259,-0.01861372220106811,0.02692087143659592,-0.17415834426879884
740,-14.028714838127295,-0.17178311778439415,-0.0185970907730128,0.021013175654742453,-0.17419920603434244
750,-14.70544276520377,-0.1606391277578142,-0.011849657829346447,0.02542420563598474,-0.17421368026733397
760,-13.672106612473726,-0.17292275826136272,-0.019891374855069446,0.02123125303122732,-0.17426264063517252
770,-15.652024454165561,-0.1705203238460753,-0.02103478971661793,0.02481863506966167,-0.17430417293972442
780,-15.078603415284306,-0.17430071036020914,-0.022042812375325918,0.022092449540893237,-0.1743503515455458
790,-13.803042653016746,-0.16878859069612293,-0.016033569310416673,0.021640343426002396,-0.17439536794026692
800,-16.945667124392156,-0.1681879652871026,-0.019969281929984897,0.02619717481235663,-0.17441586218939886
810,-14.554504500585608,-0.1713438749313355,-0.017724161876685685,0.020824919102920423,-0.17444463645087346
820,-14.876911990499744,-0.17507057454850938,-0.019798912679834756,0.01920466936296887,-0.1744763374328613
830,-15.327686304847399,-0.17149997187985314,-0.017257002360970043,0.020281685764590898,-0.17452465947469076
840,-11.779809191221526,-0.1759306636121538,-0.018146252817112126,0.01680280729714367,-0.17458722220526804
850,-14.104781980403155,-0.1754437502887514,-0.019259054435113082,0.018445156845781536,-0.17462985865275069
860,-15.46670157276094,-0.1716336131095886,-0.017992973755786405,0.021067154304020935,-0.17470779758029517
870,-14.771398619797159,-0.17158506082163916,-0.019115962263377795,0.022314736992120745,-0.1747838397555881
880,-14.572388824890368,-0.17381719516383276,-0.020454125185238405,0.02148286915487713,-0.1748459430270725
890,-15.299991715156162,-0.16762318743599783,-0.019542395599354574,0.026819829353027874,-0.1749006241692437
900,-15.713994628128907,-0.1701888789733251,-0.01862556455242965,0.023386346259050898,-0.1749496646457248
910,-14.587973975809291,-0.18048800296253628,-0.023424867641814572,0.017943145831425988,-0.175006285349528
920,-15.899122090738578,-0.17062999175654517,-0.018789741989328628,0.023212208391891587,-0.1750524609883626
930,-13.83075135894857,-0.16878276881244447,-0.010279353854194697,0.01660419808079799,-0.17510761515299478
940,-14.634561089333147,-0.16693406535519495,-0.014880293242943784,0.02308936576462454,-0.17514314100477435
950,-15.82050260171915,-0.17401148312621648,-0.018425045460268547,0.019562826740245023,-0.17514926952785914
960,-16.35703613644,-0.17366162869665355,-0.020632783379147035,0.022141765016648506,-0.17517061572604709
970,-14.615388035890646,-0.16947140130731794,-0.01694411376439449,0.0226501318729586,-0.17517742411295575
980,-13.987838200138262,-0.1766120841105779,-0.019464748134244775,0.018068567394382423,-0.17521590932210282
990,-13.901156497498354,-0.17788648141754995,-0.021224807160130393,0.01859571389440033,-0.1752573920355903
1000,-14.432207946112612,-0.17553137441476185,-0.019422529130921854,0.01922231465578079,-0.17533116488986544
1010,-11.728911457234062,-0.17646500236458249,-0.019662639543983257,0.01860474697831604,-0.17540711254543728
1020,-16.115452739836957,-0.17044266826576657,-0.016570218477782974,0.02155699912044737,-0.17542945226033532
1030,-14.54468318381502,-0.16877051923010086,-0.008894820729296447,0.015617100563314229,-0.17549280336168074
1040,-13.435004357830621,-0.17517785496181912,-0.019442369093869472,0.01980594007505311,-0.17554142973158093
1050,-15.758617068485668,-0.17082754108640882,-0.01707408220584815,0.02182237232724826,-0.17557583491007486
1060,-15.753996950312285,-0.17346089349852667,-0.019565021366320757,0.02174625959661272,-0.17564213519626193
1070,-12.156198573880829,-0.1746921734677421,-0.01757050352565683,0.018576744488543934,-0.17569841766357422
1080,-14.878456689941231,-0.1766837825377782,-0.01798608441798327,0.01706986054778099,-0.17576756244235567
1090,-13.610848321812227,-0.177022647857666,-0.018966654406459484,0.017744605532950822,-0.17580060323079427
1100,-15.0190472411147,-0.1719978004693985,-0.01779498120465885,0.021627346715993354,-0.1758301705254449
1110,-13.461719483253546,-0.1767498943540785,-0.017460699364407143,0.0165375467389822,-0.17582674365573459
1120,-15.121392904353948,-0.17429959740903644,-0.01714454948539949,0.01873168047103617,-0.17588673104180233
1130,-14.693482207367197,-0.17679967151747808,-0.018081910815413316,0.017197140885723963,-0.17591490512424043
1140,-15.714508536620997,-0.17040467361609143,-0.017625017960542916,0.023183734963337577,-0.17596339458889432
1150,-14.254150649843117,-0.17759176327122583,-0.01968561919897588,0.01809577387240198,-0.1760019234551324
1160,-13.537795731060518,-0.17221561835871801,-0.015642292574456304,0.019459061614341206,-0.1760323927137587
1170,-18.013010287773795,-0.1672563648886151,-0.01987224742770195,0.028690107042590774,-0.17607422934638128
1180,-14.961291709458843,-0.17730461259682972,-0.018268277601520014,0.017075307460294828,-0.17611164559258355
1190,-15.304397073419144,-0.17667688594924078,-0.018901918561742705,0.018391802141235935,-0.1761667726304796
1200,-15.501717192586511,-0.16784354183408948,-0.014974859452599453,0.023334095233844387,-0.1762027791341146
1210,-17.65662709227763,-0.16964016689194575,-0.01709989675226906,0.023732931994729572,-0.1762732064988878
1220,-13.819553038260588,-0.1727401203579373,-0.018452946749878015,0.02200218741264608,-0.17628936555650498
1230,-13.579663369610595,-0.17800779740015668,-0.019253662393505993,0.01760100507073932,-0.17635514534844296
1240,-14.784911629365524,-0.17292666070991092,-0.016862448997603172,0.020332266141970954,-0.17639648437499997
1250,-14.19809028855525,-0.16876699593332078,-0.013654199021079371,0.021338909657465086,-0.17645171101888021
1260,-14.072793224001847,-0.1792561286025577,-0.020488342191351372,0.01768801663484838,-0.17645580673217776
1270,-13.790822945641898,-0.17687199778027005,-0.01688578250007898,0.016479063137537903,-0.17646528074476456
1280,-14.844929457486918,-0.1744953195254008,-0.016672738022559013,0.01868446808722284,-0.17650705337524417
1290,-15.073752201084668,-0.1779397272401386,-0.020260517827328944,0.018833879505594574,-0.17651309373643662
1300,-15.153939361063143,-0.1707709911796782,-0.017963570858733468,0.02372138429847029,-0.17652880944146052
1310,-16.985837259174634,-0.17316273285282982,-0.017861073973795605,0.02124867882165644,-0.17655034086439345
1320,-15.514795809596157,-0.16845299866464403,-0.017278032949090832,0.025417728142605886,-0.17659269714355472
1330,-15.828709761068845,-0.17708051304022474,-0.017550642364626078,0.0171406215056777,-0.1766704961988661
1340,-14.752071233621487,-0.17442099882496728,-0.01709655793901119,0.019392687289251222,-0.17671713383992516
1350,-14.18007232241022,-0.17866270840168,-0.0169497086698862,0.01507350703080495,-0.17678651004367404
1360,-16.40616078682554,-0.16675258146391972,-0.010781002105149026,0.020864098788135582,-0.1768356827629937
1370,-15.592208004711816,-0.17369431919521752,-0.018213831646830336,0.021349259258972273,-0.1768297513326009
1380,-16.058048689349864,-0.17232315540313722,-0.01469030075863379,0.019209368402759237,-0.17684222666422525
1390,-13.23013296162632,-0.17626872029569415,-0.016779417885603228,0.017363741310934225,-0.17685304768880208
1400,-15.208655651464747,-0.17810101343525778,-0.020796862380343048,0.019591183091203373,-0.1768953378465441
1410,-14.738001991742445,-0.17318913804160227,-0.01950130852896513,0.023225597416361172,-0.17691343010796443
1420,-14.646058391760258,-0.1765629837910334,-0.019930886865283052,0.020335764437913895,-0.1769678645663791
1430,-15.226969398014868,-0.17646918263700273,-0.01954170243116096,0.020114480786853368,-0.17704196675618492
1440,-14.262953908725953,-0.17766184972392188,-0.017005993948421543,0.01648526158597734,-0.17714112218221026
1450,-13.598362346878275,-0.18031448059611851,-0.018564653309294955,0.015429547553261121,-0.177179377661811
1460,-14.662559610578077,-0.17597913642724353,-0.01770433990362411,0.018909311584300464,-0.17718411127726238
1470,-14.840964757255279,-0.17629453738530476,-0.016235219614787234,0.017180009269052082,-0.17723933113945856
1480,-13.563833813648671,-0.17802743249469333,-0.017895009979191755,0.017139479062623447,-0.17727190526326497
1490,-13.596271356373714,-0.17774278223514553,-0.016988933517778707,0.01654589656326506,-0.17729975043402776
1500,-13.65459409422086,-0.17953914039664798,-0.01799120263345281,0.015793059497243828,-0.177341002146403
1510,-13.66914720631515,-0.17485354608959622,-0.017411809908743532,0.019908875226974487,-0.17735061603122285
1520,-16.25848533826259,-0.18072409100002715,-0.019453293408474157,0.016167610614664023,-0.17743841383192271
1530,-14.39122347694744,-0.1772670120000839,-0.018845071677222023,0.019056467049651676,-0.1774784126281738
1540,-12.479240414162632,-0.17963799867365093,-0.01807240997441113,0.015948876159058677,-0.17751447041829427
1550,-13.074170289367126,-0.17241319351726106,-0.015205655237170707,0.020320221326417393,-0.177527764638265
1560,-16.135204335985083,-0.17446713513798184,-0.018965610760561604,0.022100126060346763,-0.17760165532430014
1570,-16.461209125836223,-0.16844918198055692,-0.015843554085262845,0.025017136335372923,-0.1776227675543891
1580,-14.815085760065509,-0.17414870858192444,-0.01740186619766367,0.020881393510434363,-0.17762823952568904
1590,-13.86228165550468,-0.17566093736224705,-0.016932449748209264,0.01894794948812988,-0.17767644161648222
1600,-16.689489885718405,-0.16651662091414135,-0.014694687352877938,0.025904200060500038,-0.177726138220893
1610,-15.79657411284279,-0.177813963426484,-0.016947220908089852,0.016936124488711356,-0.1778028729756673
1620,-15.121198694881363,-0.1765575302971734,-0.018402335918573147,0.019692299970322184,-0.1778475019666884
1630,-16.590020869586926,-0.1722037331925498,-0.01727964392112982,0.02297077870203389,-0.17789487330118817
1640,-15.707466544272998,-0.17510738836394416,-0.016962474524431552,0.019757115468382838,-0.17790203221638998
